sku	system_id	socket_0_avgpower	socket_0_energy	socket_1_avgpower	socket_1_energy	cpu_total_usage_iowait	cpu_cpu-total_usage_steal	cpu_total_usage_system	cpu_total_usage_user	cpu_frequency_b27jnz3_cpu_frequency_current	ipmi_sensor_3.1_value	ipmi_sensor_3.2_value	ipmi_sensor_cpu_usage_value	ipmi_sensor_pwr_consumption_value	mem_active	mem_available	mem_available_percent	mem_free	mem_total	mem_used	mem_used_percent	systemmetrics_timestamp_start	systemmetrics_timestamp_end	utc_timestamp	start_time	end_time	model_name	model_precision	batch_size	llm_temperature	max_new_tokens	input_tokens_length	workload	server_version	metrum_insights	num_replicas	requests_per_second	concurrent_requests	time_taken_for_tests	api_endpoint	completed_requests	failed_requests	p90_latency	p95_latency	p100_latency	total_transferred	total_body_sent	html_transferred	min_connect_time	mean_connect_time	max_connect_time	time_to_first_token_seconds_count_0	time_to_first_token_seconds_sum_0	total_generation_tokens_0	time_per_output_token_seconds_count_0	time_per_output_token_seconds_sum_0	total_prompt_tokens_0	time_to_first_token_seconds_count_1	time_to_first_token_seconds_sum_1	total_generation_tokens_1	time_per_output_token_seconds_count_1	time_per_output_token_seconds_sum_1	total_prompt_tokens_1	time_to_first_token_seconds_count_2	time_to_first_token_seconds_sum_2	total_generation_tokens_2	time_per_output_token_seconds_count_2	time_per_output_token_seconds_sum_2	total_prompt_tokens_2	time_to_first_token_seconds_count_3	time_to_first_token_seconds_sum_3	total_generation_tokens_3	time_per_output_token_seconds_count_3	time_per_output_token_seconds_sum_3	total_prompt_tokens_3	time_to_first_token_seconds_count_4	time_to_first_token_seconds_sum_4	total_generation_tokens_4	time_per_output_token_seconds_count_4	time_per_output_token_seconds_sum_4	total_prompt_tokens_4	time_to_first_token_seconds_count_5	time_to_first_token_seconds_sum_5	total_generation_tokens_5	time_per_output_token_seconds_count_5	time_per_output_token_seconds_sum_5	total_prompt_tokens_5	tokensinfo_completion_tokens_total	tokensinfo_prompt_tokens_total	tokensinfo_time_start	tokensinfo_time_end	model_parameter	cpu_energy_mean	ipmi_sensor_7.1_value
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	240438.0	1414431.0551635	168222.5	1436016.0435605	0.0	0	0.19230329540000002	7.5783164332	2645.8278880208	72.0	67.0	52.0	720.0	30863222784	1290774097920	79.5395391606	1257644820480	1622808117248	324543991808	19.9989135104	1727069770	1727069780	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344065.214474289	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	312342.0	1414458.762642	275802.0	1436037.0957	0.0015648554000000001	0	0.3885109376	19.7280468587	2865.0256614583	72.0	66.0	52.0	690.0	30863333376	1290426501120	79.5181196966	1257294755840	1622808117248	324889722880	20.0202180053	1727069780	1727069790	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344070.1967594011	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	387723.5	1414497.550854	382852.0	1436074.7903884999	0.0	0	1.0449503475	45.095947494	3087.7400377604	78.0	72.0	52.0	1230.0	30863443968	1290112266240	79.4987560469	1256978055168	1622808117248	325202085888	20.0394663073	1727069790	1727069800	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344081.531746138	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	388151.0	1414537.26698	392322.5	1436114.705638	0.0	0	0.9653158802	45.1741726278	3085.9727278646	76.0	72.0	52.0	1230.0	30863443968	1290190768128	79.5035934572	1257056542720	1622808117248	325123563520	20.0346276349	1727069800	1727069810	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344093.2835688542	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	391811.0	1414577.4871235	393488.5	1436155.2004115	0.0	0	0.9064760144	45.3253508521	3083.5180846354	80.0	77.0	52.0	1260.0	30863443968	1290242478080	79.5067799062	1257108316160	1622808117248	325071894528	20.03144371	1727069810	1727069820	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344105.4945700807	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	394012.0	1414617.8168225	391983.0	1436195.637072	0.0002604492	0	1.0009253132	45.1138223606	3078.3098111979	83.0	83.0	52.0	1290.0	30863443968	1290271127552	79.5085453319	1257137020928	1622808117248	325043376128	20.0296863611	1727069820	1727069830	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344117.4741061016	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	396413.0	1414658.3318385	399029.0	1436236.2172355	0.0	0	0.9465108582	45.229009239	3016.6408789063	85.0	84.0	52.0	1290.0	30863441920	1290284044288	79.5093412816	1257149831168	1622808117248	325030483968	20.0288919259	1727069830	1727069840	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344129.6278848346	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	394819.0	1414698.8716205	395722.0	1436276.813149	0.0	0	0.9918972375	45.1699467092	3030.7001927083	86.0	86.0	40.0	1320.0	30863443968	1290288971776	79.5096449212	1257154697216	1622808117248	325025533952	20.0285868981	1727069840	1727069850	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344141.8130329635	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	395553.5	1414739.388417	395450.0	1436317.306102	0.0	0	1.009625701	45.1128545963	3074.0637643229	87.0	87.0	40.0	1320.0	30863446016	1290301290496	79.5104040202	1257166964736	1622808117248	325013233664	20.0278289349	1727069850	1727069860	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344153.7856182461	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	399176.5	1414780.015646	397193.5	1436357.9810335	0.0	0	0.9133337113000001	45.2998352601	3026.1311679688	87.0	85.0	40.0	1320.0	30863448064	1290301808640	79.510435949	1257167366144	1622808117248	325012701184	20.0277961226	1727069860	1727069870	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344166.073137569	
